dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000544,0.381950,0.000625,0.025000,0.500000,10.000000,0.000124
0.050000,0.002844,0.381951,0.002925,0.045995,0.419899,-1.602018,0.000648
0.050000,0.008019,0.381957,0.008100,0.103508,1.150253,14.607072,0.001826
0.050000,0.017223,0.381984,0.017304,0.184078,1.611417,9.223289,0.003910
0.050000,0.031036,0.382059,0.031118,0.276274,1.843918,4.650023,0.007016
0.050000,0.049469,0.382226,0.049551,0.368660,1.847722,0.076081,0.011118
0.050000,0.072532,0.382541,0.072616,0.461304,1.852864,0.102831,0.016184
0.050000,0.100240,0.383073,0.100330,0.554274,1.859397,0.130655,0.022170
0.050000,0.132612,0.383902,0.132712,0.647643,1.867381,0.159677,0.029023
0.050000,0.169666,0.385121,0.169786,0.741486,1.876877,0.189931,0.036683
0.050000,0.211425,0.386830,0.211580,0.835884,1.887945,0.221356,0.045076
0.050000,0.257914,0.389138,0.258126,0.930915,1.900634,0.253787,0.054119
0.050000,0.309158,0.392163,0.309459,1.026664,1.914982,0.286959,0.063719
0.050000,0.365186,0.396023,0.365620,1.123215,1.931008,0.320526,0.073770
0.050000,0.426028,0.400840,0.426653,1.220650,1.948712,0.354078,0.084157
0.050000,0.491716,0.406735,0.492605,1.319054,1.968071,0.387177,0.094752
0.050000,0.562286,0.413827,0.563531,1.418506,1.989041,0.419394,0.105419
0.050000,0.637775,0.422224,0.639485,1.519084,2.011559,0.450363,0.116011
0.050000,0.718223,0.432028,0.720528,1.620862,2.035550,0.479821,0.126370
0.050000,0.803675,0.443325,0.806723,1.723908,2.060933,0.507659,0.136330
0.050000,0.893584,0.456096,0.897535,1.816233,1.846490,-4.288861,0.145658
0.050000,0.986802,0.470183,0.991812,1.885538,1.386112,-9.207565,0.154096
0.050000,1.082170,0.485365,1.088380,1.931374,0.916711,-9.388010,0.161443
0.050000,1.178513,0.501369,1.186044,1.953261,0.437739,-9.579437,0.167561
0.050000,1.275247,0.517983,1.284194,1.963010,0.194981,-4.855159,0.172403
0.050000,1.372390,0.535088,1.382831,1.972738,0.194558,-0.008478,0.175972
0.050000,1.469959,0.552564,1.481953,1.982448,0.194197,-0.007202,0.178269
0.050000,1.567977,0.570288,1.581561,1.992145,0.193943,-0.005089,0.179298
0.050000,1.666465,0.588136,1.681652,2.001836,0.193821,-0.002442,0.179057
0.050000,1.765445,0.605985,1.782229,2.011528,0.193843,0.000444,0.177548
0.050000,1.864940,0.623706,1.883290,2.021228,0.194007,0.003274,0.174769
0.050000,1.964974,0.641171,1.984837,2.030943,0.194294,0.005753,0.170718
0.050000,2.065569,0.658249,2.086871,2.040677,0.194674,0.007583,0.165393
0.050000,2.166745,0.674804,2.189393,2.050432,0.195097,0.008460,0.158791
0.050000,2.268521,0.690702,2.292403,2.060207,0.195500,0.008074,0.150909
0.050000,2.370913,0.705804,2.395903,2.069997,0.195806,0.006107,0.141745
0.050000,2.473934,0.719967,2.499893,2.079793,0.195918,0.002240,0.131298
0.050000,2.577590,0.733048,2.604371,2.089579,0.195726,-0.003840,0.119570
0.050000,2.681886,0.744902,2.709338,2.099334,0.195104,-0.012433,0.106564
0.050000,2.786815,0.755380,2.814790,2.109030,0.193914,-0.023806,0.092289
0.050000,2.892368,0.764333,2.920721,2.118630,0.192005,-0.038175,0.076757
0.050000,2.998523,0.771613,3.027126,2.128091,0.189221,-0.055680,0.059985
0.050000,3.105252,0.777070,3.133994,2.137361,0.185403,-0.076355,0.042000
0.050000,3.212514,0.780558,3.241313,2.146381,0.180398,-0.100102,0.022833
0.050000,3.320260,0.781934,3.349067,2.155085,0.174065,-0.126655,0.002527
0.050000,3.421205,0.781950,3.450012,2.018903,-2.723640,-57.954111,0.000000
0.050000,3.521205,0.781950,3.550012,2.000000,-0.378052,46.911766,0.000000
0.050000,3.621205,0.781950,3.650012,2.000000,-0.000000,7.561038,0.000000
0.050000,3.721205,0.781950,3.750012,2.000000,-0.000000,-0.000000,0.000000
0.050000,3.821205,0.781950,3.850012,2.000000,0.000000,0.000000,0.000000
0.050000,3.921205,0.781950,3.950012,2.000000,-0.000000,-0.000000,0.000000
