dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002891,0.381950,0.002941,0.117647,2.352941,47.058824,0.000000
0.050000,0.011715,0.381950,0.011765,0.176471,1.176471,-23.529412,0.000000
0.050000,0.026421,0.381950,0.026471,0.294118,2.352941,23.529412,0.000000
0.050000,0.047009,0.381950,0.047059,0.411765,2.352941,0.000000,0.000000
0.050000,0.073479,0.381950,0.073529,0.529412,2.352941,-0.000000,0.000000
0.050000,0.105832,0.381950,0.105882,0.647059,2.352941,-0.000000,0.000000
0.050000,0.144068,0.381950,0.144118,0.764706,2.352941,-0.000000,0.000000
0.050000,0.188185,0.381950,0.188235,0.882353,2.352941,-0.000000,0.000000
0.050000,0.238185,0.381950,0.238235,1.000000,2.352941,0.000000,0.000000
0.050000,0.294068,0.381950,0.294118,1.117647,2.352941,0.000000,0.000000
0.050000,0.355832,0.381950,0.355882,1.235294,2.352941,0.000000,0.000000
0.050000,0.423479,0.381950,0.423529,1.352941,2.352941,-0.000000,0.000000
0.050000,0.497009,0.381950,0.497059,1.470588,2.352941,-0.000000,0.000000
0.050000,0.576421,0.381950,0.576471,1.588235,2.352941,-0.000000,0.000000
0.050000,0.661715,0.381950,0.661765,1.705882,2.352941,-0.000000,0.000000
0.050000,0.752891,0.381950,0.752941,1.823529,2.352941,-0.000000,0.000000
0.050000,0.849950,0.381950,0.850000,1.941176,2.352941,0.000000,0.000000
0.050000,0.949950,0.381950,0.950000,2.000000,1.176471,-23.529412,0.000000
0.050000,1.049950,0.381950,1.050000,2.000000,0.000000,-23.529412,0.000000
0.050000,1.149950,0.381950,1.150000,2.000000,-0.000000,-0.000000,0.000000
0.050000,1.249950,0.381950,1.250000,2.000000,0.000000,0.000000,0.000000
0.050000,1.349950,0.381950,1.350000,2.000000,0.000000,0.000000,0.000000
0.050000,1.449950,0.381950,1.450000,2.000000,0.000000,-0.000000,0.000000
0.050000,1.549950,0.381950,1.550000,2.000000,-0.000000,-0.000000,0.000000
0.050000,1.649950,0.381950,1.650000,2.000000,0.000000,0.000000,0.000000
0.050000,1.749950,0.381950,1.750000,2.000000,0.000000,-0.000000,0.000000
0.050000,1.849950,0.381950,1.850000,2.000000,-0.000000,-0.000000,0.000000
0.050000,1.949950,0.381950,1.950000,2.000000,0.000000,0.000000,0.000000
0.050000,2.049950,0.381950,2.050000,2.000000,-0.000000,-0.000000,0.000000
0.050000,2.149950,0.381950,2.150000,2.000000,0.000000,0.000000,0.000000
0.050000,2.249950,0.381950,2.250000,2.000000,0.000000,-0.000000,0.000000
0.050000,2.349950,0.381950,2.350000,2.000000,0.000000,0.000000,0.000000
0.050000,2.449950,0.381950,2.450000,2.000000,-0.000000,-0.000000,0.000000
0.050000,2.549950,0.381950,2.550000,2.000000,0.000000,0.000000,0.000000
0.050000,2.649950,0.381950,2.650000,2.000000,0.000000,-0.000000,0.000000
0.050000,2.749950,0.381950,2.750000,2.000000,0.000000,-0.000000,0.000000
0.050000,2.849950,0.381950,2.850000,2.000000,0.000000,-0.000000,0.000000
0.050000,2.949950,0.381950,2.950000,2.000000,0.000000,0.000000,0.000000
0.050000,3.049950,0.381950,3.050000,2.000000,0.000000,0.000000,0.000000
0.050000,3.149950,0.381950,3.150000,2.000000,0.000000,0.000000,0.000000
0.050000,3.249950,0.381950,3.250000,2.000000,0.000000,0.000000,0.000000
0.050000,3.349950,0.381950,3.350000,2.000000,0.000000,0.000000,0.000000
0.050000,3.449950,0.381950,3.450000,2.000000,-0.000000,-0.000000,0.000000
0.050000,3.549950,0.381950,3.550000,2.000000,0.000000,0.000000,0.000000
0.050000,3.649950,0.381950,3.650000,2.000000,0.000000,-0.000000,0.000000
0.050000,3.749950,0.381950,3.750000,2.000000,0.000000,0.000000,0.000000
0.050000,3.849950,0.381950,3.850000,2.000000,0.000000,0.000000,0.000000
0.050000,3.949950,0.381950,3.950000,2.000000,0.000000,0.000000,0.000000
0.050000,4.049950,0.381950,4.050000,2.000000,0.000000,0.000000,0.000000
0.050000,4.149950,0.381950,4.150000,2.000000,-0.000000,-0.000000,0.000000
0.050000,4.247010,0.381950,4.247060,1.941206,-1.175882,-23.517647,0.000000
0.050000,4.338190,0.381950,4.338240,1.823588,-2.352353,-23.529412,0.000000
0.050000,4.423487,0.381950,4.423537,1.705941,-2.352941,-0.011765,0.000000
0.050000,4.502901,0.381950,4.502951,1.588294,-2.352941,-0.000000,0.000000
0.050000,4.576434,0.381950,4.576484,1.470647,-2.352941,0.000000,0.000000
0.050000,4.644084,0.381950,4.644134,1.353000,-2.352941,0.000000,0.000000
0.050000,4.705851,0.381950,4.705901,1.235353,-2.352941,-0.000000,0.000000
0.050000,4.761737,0.381950,4.761787,1.117706,-2.352941,-0.000000,0.000000
0.050000,4.811740,0.381950,4.811790,1.000059,-2.352941,0.000000,0.000000
0.050000,4.855860,0.381950,4.855910,0.882412,-2.352941,0.000000,0.000000
0.050000,4.894099,0.381950,4.894149,0.764765,-2.352941,0.000000,0.000000
0.050000,4.926454,0.381950,4.926504,0.647118,-2.352941,-0.000000,0.000000
0.050000,4.952928,0.381950,4.952978,0.529471,-2.352941,0.000000,0.000000
0.050000,4.973519,0.381950,4.973569,0.411824,-2.352941,-0.000000,0.000000
0.050000,4.988228,0.381950,4.988278,0.294176,-2.352941,0.000000,0.000000
0.050000,4.997054,0.381950,4.997104,0.176529,-2.352941,0.000000,0.000000
0.050000,4.999999,0.381950,5.000049,0.058882,-2.352941,-0.000000,0.000000
0.050000,5.000000,0.381950,5.000050,0.000029,-1.177059,23.517647,0.000000
0.050000,5.000000,0.381950,5.000050,0.000000,-0.000588,23.529412,0.000000
